X,Boron,Phosphorus
um,cm^-3,cm^-3
-4.2004099,0,0
-4.1675942,0,0
-4.1347785,0,0
-4.1183706,0,0
-4.1101667,0,0
-4.1060648,0,0
-4.1040138,0,0
-4.1019628,0,0
-4.1009373,0,0
-4.1004246,0,0
-4.0999999,0,0
-4.0999999,100000,100000
-4.0999999,1.01E+10,2.45E+16
-4.0993991,1.01E+10,2.45E+16
-4.0988863,1.01E+10,2.45E+16
-4.0978608,1.01E+10,2.45E+16
-4.0958099,1.01E+10,2.45E+16
-4.0937589,1.01E+10,2.45E+16
-4.0896569,1.01E+10,2.45E+16
-4.0855549,1.01E+10,2.45E+16
-4.077351,1.01E+10,2.45E+16
-4.0691471,1.01E+10,2.45E+16
-4.0527392,1.01E+10,2.45E+16
-4.0363314,1.01E+10,2.45E+16
-4.0035157,1.01E+10,2.45E+16
-3.9378843,1.01E+10,2.45E+16
-3.8066215,1.01E+10,2.45E+16
-3.6753587,1.01E+10,2.45E+16
-3.412833,1.01E+10,2.45E+16
-3.1503074,1.01E+10,2.45E+16
-2.8877818,1.01E+10,2.45E+16
-2.6252562,1.01E+10,2.45E+16
-2.3627306,1.01E+10,2.45E+16
-2.100205,1.01E+10,2.45E+16
-1.8376793,1.01E+10,2.45E+16
-1.5751537,1.01E+10,2.45E+16
-1.3126281,1.01E+10,2.45E+16
-1.0501025,1.01E+10,2.45E+16
-0.78757686,1.01E+10,2.45E+16
-0.65631405,1.03E+10,2.45E+16
-0.52505124,1.08E+10,2.45E+16
-0.45941983,1.64E+10,2.45E+16
-0.39378843,3.27E+10,2.45E+16
-0.36097273,8.12E+10,2.45E+16
-0.32815702,2.02E+11,2.45E+16
-0.31174917,3.55E+11,2.45E+16
-0.30354525,4.70E+11,2.45E+16
-0.29534132,6.19E+11,2.45E+16
-0.2871374,8.13E+11,2.44E+16
-0.27893347,1.07E+12,2.44E+16
-0.27072954,1.41E+12,2.44E+16
-0.26662758,1.61E+12,2.44E+16
-0.26252562,1.84E+12,2.44E+16
-0.25842366,2.11E+12,2.44E+16
-0.25432169,2.41E+12,2.44E+16
-0.25021973,2.75E+12,2.44E+16
-0.24611777,3.14E+12,2.44E+16
-0.24201581,3.58E+12,2.44E+16
-0.23791384,4.07E+12,2.44E+16
-0.23381188,4.63E+12,2.44E+16
-0.22970992,5.27E+12,2.44E+16
-0.22560795,5.98E+12,2.44E+16
-0.22150599,6.79E+12,2.43E+16
-0.21740403,7.69E+12,2.43E+16
-0.21330207,8.71E+12,2.43E+16
-0.2092001,9.86E+12,2.43E+16
-0.20509814,1.11E+13,2.43E+16
-0.20099618,1.26E+13,2.42E+16
-0.19689421,1.42E+13,2.42E+16
-0.19279225,1.60E+13,2.42E+16
-0.18869029,1.80E+13,2.42E+16
-0.18458833,2.03E+13,2.41E+16
-0.18048636,2.28E+13,2.41E+16
-0.1763844,2.55E+13,2.40E+16
-0.17228244,2.86E+13,2.40E+16
-0.16818047,3.20E+13,2.39E+16
-0.16407851,3.57E+13,2.38E+16
-0.15997655,3.98E+13,2.38E+16
-0.15587459,4.43E+13,2.37E+16
-0.15177262,4.93E+13,2.36E+16
-0.14767066,5.46E+13,2.35E+16
-0.1435687,6.05E+13,2.34E+16
-0.13946674,6.69E+13,2.33E+16
-0.13536477,7.38E+13,2.32E+16
-0.13126281,8.13E+13,2.30E+16
-0.12716085,8.94E+13,2.29E+16
-0.12305888,9.81E+13,2.27E+16
-0.11895692,1.07E+14,2.26E+16
-0.11485496,1.17E+14,2.24E+16
-0.110753,1.28E+14,2.22E+16
-0.10665103,1.40E+14,2.20E+16
-0.10254907,1.52E+14,2.18E+16
-0.098447107,1.65E+14,2.15E+16
-0.094345144,1.78E+14,2.13E+16
-0.090243182,1.92E+14,2.10E+16
-0.082039256,2.23E+14,2.05E+16
-0.07383533,2.57E+14,1.98E+16
-0.065631405,2.94E+14,1.92E+16
-0.057427479,3.34E+14,1.84E+16
-0.049223554,3.76E+14,1.76E+16
-0.041019628,4.21E+14,1.68E+16
-0.032815702,4.68E+14,1.60E+16
